company_name,contact,address,city,state,zip,country,phone,email,fax,notes,operations,commodities,url
Alberts Organics Midwest,,PO Box 624,BRIDGEPORT,NJ,08014-0624,USA,(866) 252-6958,,(317) 865-7568,,"Distributor, Shipper, Produce,","Apples, Bananas, Broccoli, Carrots, Cherries, Fruits, Grapefruit, Lemons, Lettuce, Onions, Oranges, Organic, Peaches, Pears, Potatoes, Vegetables,",
Allendale Produce Co,,PO BOX 1060,HOMEDALE,ID,83628-1060,USA,(208) 337-4025,,(208) 337-3324,,"Grower, Packer, Shipper, Produce,","Onions,",
Alsum Produce Inc,,PO BOX 188,FRIESLAND,WI,53935-0188,USA,(920) 348-5127,larry.alsum@alsum.com,,,"Distributor, Food Service, Grower, Packer, Shipper, Produce,","Fruits, Onions, Organic, PMA Member, Potatoes, Vegetables,",Http://www.alsum.com
Altar Produce LLC,,205 W Grant St,CALEXICO,CA,92231-2255,USA,(760) 357-6762,elizabeth@altarproduce.com,(760) 357-8265,,"Exporter, Grower, Importer, Shipper, Produce,","Asparagus, Grapes, Green Onions, Radishes,",Http://www.altarproduce.com
Amco Produce Corporation,,PO Box 61,LEAMINGTON,Ontario,N8H 3W1,CANADA,(734) 947-1679,,(734) 947-9663,,"Packer, Shipper, Wholesaler, Produce,","Cucumbers, Hothouse Cucumbers, Hothouse Tomato, Peppers, Tomatoes,",
Amex Distributing Co Inc,,PO BOX 1596,TUBAC,AZ,85646-1596,USA,(520) 281-1456,,(520) 281-1473,,"Buying Broker, Distributor, Shipper, Produce,","Cantaloupes, Fruits, Honeydew Melons, Hothouse Tomato, Mangoes, Melons, Mixed Vegetables, Tomatoes, Vegetables,",
ANA Trading Corp USA,,"970 W 190 St, Ste 600",TORRANCE,CA,90502-1053,USA,(310) 329-0211,,(310) 354-5993,,"Exporter, Shipper, Produce,","Dried Fruit, Fruits, Vegetables,",Http://www.anatu.com
Appalachian Produce Co Inc,,PO BOX 4055,RIO RICO,AZ,85648-4055,USA,(520) 281-1561,veggi@theriver.com,(520) 281-4349,,"Broker, Shipper, Produce,","Mixed Vegetables, Squash, Tomatoes,",
Apple Acres,,4633 US Route 20,LAFAYETTE,NY,13084,USA,(315) 677-5144,,(315) 677-5143,,"Grower, Packer, Shipper, Produce,","Apples,",
Applewood Orchards Inc,,2998 RODESILER HWY,DEERFIELD,MI,49238-9789,USA,(517) 447-3002,scott@applewoodapples.com,(517) 447-3006,,"Buying Broker, Grower, Packer, Sales Agency, Shipper, Produce,","Apples, Cabbage, Cucumbers, Eggplant, Green Beans, Greens, Jonagold Apple, Peaches, Peppers, Pickle Cucumbers, Plums, PMA Member, Pumpkins, Squash, Sweet Corn, Zucchini,",Http://www.applewoodapples.com
Arbittier Farms,,344 MAIN RD,VINELAND,NJ,08360-1811,USA,(856) 697-3200,arbittierfarms@earthlink.net,(856) 697-2671,,"Buying Broker, Shipper, Produce,","Vegetables,",
"Armata Inc, E",,NYC Term Mkt,BRONX,NY,10474,USA,(718) 991-5600,,(718) 991-1599,,"Commission Merchant, Jobber, Shipper, Produce,","Cantaloupes, Carrots, Cherries, Fruits, Grapefruit, Grapes, Lemons, Lettuce, Nectarines, Oranges, Plums, PMA Member, Vegetables,",
Asbell-McCormick Inc,,3972 N RD E,MONTE VISTA,CO,81144,USA,(719) 852-4727,jmccormick@amigo.net,(719) 852-4326,,"Broker, Processor, Shipper, Produce,","Potatoes, Seed Potatoes,",
Aspen Produce LLC,,PO BOX 1179,CENTER,CO,81125-1179,USA,(719) 754-3464,aspen@aspenllc.com,(719) 754-2342,,"Distributor, Packer, Repacker, Shipper, Produce,","Potatoes,",Http://www.aspenllc.com
Atlantic Blueberry Co,,7201 WEYMOUTH RD,HAMMONTON,NJ,08037-3414,USA,(609) 561-8600,art@atlanticblueberry.com,(609) 561-5033,,"Exporter, Grower, Shipper, Produce,","Blueberries, PMA Member,",Http://www.atlanticblueberry.com
"Baginski & Sons Inc, Ted",,N3502 CT H,ANTIGO,WI,54409,USA,(715) 627-7753,mike@baginskifarms.com,(715) 623-5412,,"Grower, Shipper, Produce,","Seed Potatoes,",
Bailey Farms Inc,,PO Box 649,OXFORD,NC,27565-0649,USA,(919) 690-1524,rbailey@baileyfarmsinc.com,(919) 690-0409,,"Buying Broker, Distributor, Grower, Packer, Shipper, Produce,","Anaheim, Chili, Daikon, Habanero Chili, Jalapeño Pepper, Mexican Vegetable, Oriental Vegetables, Poblano, Serrano, Squash, Tomatillo,",Http://www.baileyfarmsinc.com
"Bailey Produce Co, Wayne E",,PO BOX 467,CHADBOURN,NC,28431-0467,USA,(910) 654-5163,sales@sweetpotatoes.com,(910) 654-4734,,"Buying Broker, Grower, Packer, Processor, Shipper, Produce,","PMA Member, Sweet Potatoes,",Http://www.sweetpotatoes.com
Baker Packing Co,,PO BOX 217,ONTARIO,OR,97914-0217,USA,(541) 889-9663,steve.baker@fmtc.com,(541) 889-9376,,"Exporter, Packer, Shipper, Produce,","Onions,",
Baloian Farms,,PO BOX 11337,FRESNO,CA,93772-1337,USA,(559) 264-3427,tbaloian@baloianfarms.com,(559) 268-7651,,"Grower, Packer, Shipper, Produce,","Beets, Boston/Butterhead, Cucumbers, Eggplant, Green Beans, Green Onions, Honeydew Melons, Lettuce, Melons, Onions, Organic, Peppers, PMA Member, Radishes, Romaine, Rutabaga, Spinach, Squash, Sweet Potatoes, Turnips, Turnips,",Http://www.baloianfarms.com
Bandwagon Brokerage,,PO BOX 260827,ENCINO,CA,91426-0827,USA,(213) 622-5601,,(213) 622-5686,,"Buying Broker, Shipper, Produce,","Apples, Apricots, Artichokes, Asparagus, Avocados, Bananas, Beets, Blackberries, Blueberries, Broccoli, Brussels Sprouts, Cabbage, Cantaloupes, Carrots, Cauliflower, Celery, Cherries, Chili, Citrus Fruits, Coconuts, Cranberries, Cucumbers, Eggplant, Endive, Figs, Fresh Cut, Fruits, Garlic, Grapefruit, Grapes, Green Beans, Green Onions, Green Peas, Greens, Herbs, Honeydew Melons, Kiwi, Leeks, Lemons, Lettuce, Limes, Mangoes, Melons, Mushrooms, Nectarines, Nuts, Okra, Onions, Oranges, Organic, Papayas, Peaches, Pears, Peppers, Pineapples, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Romaine, Rutabaga, Salads, Spinach, Sprouts, Squash, Strawberries, Sweet Corn, Sweet Potatoes, Tomatoes, Turnips, Vegetables, Watermelons,",
Basciani Mushroom Farms dba Basciani Foods Inc,,8876 GAP NEWPORT PIKE,AVONDALE,PA,19311-9740,USA,(610) 268-3044,michael@bascianifoods.com,(610) 268-2194,,"Grower, Packer, Shipper, Produce,","Mushrooms,",Http://www.bascianifoods.com
Basciani Mushroom Farms dba Basciani Foods Inc,,776 KASOTA AVE,MINNEAPOLIS,MN,55414,USA,(612) 379-4040,michael@bascianifoods.com,(612) 379-4044,,"Grower, Packer, Shipper, Produce,","Mushrooms,",Http://www.bascianifoods.com
Basciani Mushroom Farms dba Basciani Foods Inc,,3661 S Iron St,CHICAGO,IL,60609,USA,(773) 254-9110,michael@bascianifoods.com,(773) 254-9011,,"Grower, Packer, Shipper, Produce,","Mushrooms,",Http://www.bascianifoods.com
Basciani Mushroom Farms dba Basciani Foods Inc,,2428 Fifteenth Ave,MOLINE,IL,61265,USA,(888) 853-7374,ecasel@bascianifoods.com,(309) 764-6246,,"Grower, Packer, Shipper, Produce,","Mushrooms,",Http://www.bascianifoods.com
"Bauman Orchards, Inc",,161 RITTMAN AVE,RITTMAN,OH,44270-1253,USA,(330) 925-6861,,,,"Distributor, Grower, Packer, Retailer, Shipper, Produce,","Apples, Fruits, Peaches, Strawberries, Sweet Corn, Tomatoes, Vegetables,",
Bay Area Produce Inc,,PO BOX 6960,SAN JOSE,CA,95150-6960,USA,(408) 395-1111,,(408) 395-2894,,"Broker, Shipper, Produce,","Cantaloupes, Carrots, Celery, Cherry Tomatoes, Cucumbers, Green Beans, Lettuce, Peppers, Squash, Sweet Corn, Tomatoes,",Http://www.bayareaproduce.com
BelleHarvest Sales Inc,,11900 FISK RD,BELDING,MI,48809-9413,USA,(616) 794-0320,tpletch@iserv.net,(616) 794-3961,,"Packer, Sales Agency, Shipper, Produce,","Apples, Asparagus, Peaches, Pears, Plums,",Http://www.belleharvest.com
Bellue Marketing Co,,"2603 G St, #B",BAKERSFIELD,CA,93301-2878,USA,(661) 325-4700,pkbl@igalaxy.net,(661) 328-5515,,"Buying Broker, Broker, Shipper, Produce,","Apples, Broccoli, Cabbage, Cantaloupes, Carrots, Cauliflower, Celery, Fresh Cut, Fruits, Grapes, Green Onions, Honeydew Melons, Kiwi, Lettuce, Nectarines, Onions, Oranges, Pears, Peppers, Plums, Potatoes, Romaine, Spinach, Strawberries, Sweet Corn, Turnips, Vegetables,",
"Benben Inc, Mike",,PO BOX 567,STURTEVANT,WI,53177-0567,USA,(262) 886-3363,benben@execpc.com,(262) 886-4372,,"Shipper, Produce,","Apples, Beets, Blueberries, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Chili, Cranberries, Cucumbers, Eggplant, Escarole, Grapes, Green Beans, Green Onions, Green Peas, Greens, Herbs, Kohlrabi, Leeks, Lettuce, Mixed Vegetables, Nuts, Okra, Onions, Parsley, Parsnips, Peaches, Peppers, Plums, Potatoes, Pumpkins, Radishes, Rappini, Romaine, Rutabaga, Spinach, Sprouts, Squash, Sweet Corn, Sweet Potatoes, Tomatoes, Turnips, Vegetables,",
Benny's Farm Fresh Distributing Company,,1187 Wilmette Ave #131,WILMETTE,IL,60091-2719,USA,(847) 724-8854,ron@bennysfarm.com,(847) 724-8875,,"Distributor, Exporter, Importer, Shipper, Produce,","Asparagus, Avocados, Berries, Blackberries, Blueberries, Broccoli, Cantaloupes, Carrots, Cherry Tomatoes, Chili, Cucumbers, Dried Fruit, Fruits, Garlic, Herbs, Honeydew Melons, Hothouse Cucumbers, Hothouse Peppers, Hothouse Tomato, Lemons, Limes, Mangoes, Onions, Organic, Organic, Papayas, Peppers, Peppers, Pineapples, Plums, Pumpkins, Raspberries, Squash, Strawberries, Sweet Corn, Tomatoes, Tomatoes, Vegetables, Watermelons,",
Better Life Company Inc,,PO Box 2841,FULLERTON,CA,92837-0841,USA,(213) 623-0640,beterlife@aol.com,(213) 623-0641,,"Jobber, Shipper, Produce,","Citrus Fruits, Exotic Fruits, Fruits, Organic, Tomatoes, Vegetables,",
Bill's Produce Inc,,2001 N Indiana Ave,GRIFFITH,IN,46319-1048,USA,(219) 838-2240,,(219) 838-7202,,"Jobber, Shipper, Produce,","Apples, Bedding Plants, Blueberries, Cabbage, Carrots, Celery, Christmas Trees, Cucumbers, Fruits, Green Beans, Melons, Nectarines, Onions, Peaches, Pears, Peppers, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Squash, Strawberries, Sweet Corn, Sweet Potatoes, Tomatoes, Vegetables, Watermelons,",
Bill's Produce Inc,,2001 Indiana Ave,GRIFFITH,IN,46319-1048,USA,(912) 228-6988,,,,"Jobber, Shipper, Produce,","Apples, Bedding Plants, Cabbage, Christmas Trees, Cucumbers, Fruits, Green Beans, Onions, Peaches, Peppers, Potatoes, Pumpkins, Squash, Sweet Corn, Tomatoes, Vegetables, Watermelons,",
Bjorneby Potato Co Inc dba Lone Wolf Farms,,PO BOX 317,MINTO,ND,58261-0317,USA,(701) 248-3482,,(701) 248-3508,,"Broker, Grower, Packer, Shipper, Produce,","Potatoes, Seed Potatoes,",Http://www.lonewolffarms.com
Black Gold Potato Sales Inc,,4575 32ND AVE S,GRAND FORKS,ND,58201-3305,USA,(701) 772-2620,,,,"Buying Broker, Broker, Shipper, Produce,","Chip, Potatoes, Seed Potatoes,",Http://www.blackgoldpotato.com
Black Gold Potato Sales Inc,,1960 West 222nd Road,CHARLESTON,MO,63834-9211,USA,(573) 683-3381,,,,"Grower, Shipper, Produce,","Chip, Potatoes,",
Black Gold Potato Sales Inc,,3636 N 215 East,WINAMAC,IN,46996-8867,USA,(574) 946-6432,,,,"Broker, Grower, Shipper, Produce,","Chip, Potatoes, Seed Potatoes,",
Black Gold Potato Sales Inc,,10701 State Hwy 164,ARBYRD,MO,63821-8172,USA,(573) 654-2220,,,,"Grower, Shipper, Produce,","Chip, Potatoes,",
"Black Gold Potato Sales, Inc",,69331 Klinger Lake Road,STURGIS,MI,49091-9209,USA,(269) 659-8556,,,,"Broker, Grower, Shipper, Produce,","Chip, Potatoes, Seed Potatoes,",
Blanfort Inc,,PO BOX 27,BLANCA,CO,81123-0027,USA,(719) 379-3211,jerry@blanfort.com,(719) 379-3589,,"Grower, Shipper, Produce,","Potatoes,",
Blazer Wilkinson LP,,PO Box 7428,SPRECKELS,CA,93962-7428,USA,(831) 455-3700,john@blazerwilkinson.com,(831) 455-3705,,"Distributor, Grower, Shipper, Produce,","Asparagus, Blackberries, Blueberries, Grapes, Melons, Nectarines, Peaches, Plums, Raspberries, Strawberries,",
Boggiatto Produce Inc,,PO BOX 2266,SALINAS,CA,93902-2266,USA,(831) 424-4864,,(831) 424-8955,,"Grower, Packer, Shipper, Produce,","Artichokes, Broccoli, Brussels Sprouts, Cabbage, Cilantro, Green Beans, Kale, Leeks, Lettuce, Mixed Vegetables, Parsley, PMA Member, Radishes, Rappini, Romaine, Spinach, Spinach, Zucchini,",Http://www.boggiatto.com
Boggiatto Produce Inc,,4605 Hwy 111,BRAWLEY,CA,92227-9619,USA,(831) 424-4864,,,,"Grower, Packer, Shipper, Produce,","Artichokes, Broccoli, Cabbage, Green Leaf Lettuce, Lettuce, Red Leaf Lettuce, Romaine,",
"Bolthouse Farms Inc, Wm",,13475 SPRUCE AVE,GRANT,MI,49327-9354,USA,(231) 834-5691,lprickett@bolthouse.com,(231) 834-8118,,"Grower, Shipper, Produce,","Carrots, Onions,",
"Bolthouse Farms Inc, Wm",,7200 E BRUNDAGE LN,BAKERSFIELD,CA,93307-3099,USA,(908) 310-8138,tmccorkle@bolthouse.com,(661) 366-2834,,"Fresh Cut Processor, Grower, Shipper, Produce,","Carrots, Fresh Cut, Frozen Foods, Juice, Organic, PMA Member, Processed Vegetables,",
"Bolthouse Farms Inc, Wm",,10 Sonova Rd,PROSSER,WA,99350-9312,USA,(509) 894-4460,,,,"Fresh Cut Processor, Grower, Shipper, Produce,","Carrots,",
"Bolthouse Farms Inc, Wm",,275 Walnut Ave,HOLTVILLE,CA,92250-1371,USA,(760) 356-4567,,,,"Grower, Shipper, Produce,","Carrots, Organic,",
"Bolthouse Farms, Wm",,40825 12th St,GREENFIELD,CA,93927-4201,USA,(831) 674-3387,,,,"Grower, Shipper, Produce,","Carrots, Oranges,",
Borton Marketing Co Inc,,PO BOX 9663,BAKERSFIELD,CA,93389-9663,USA,(661) 325-5728,,(661) 322-8750,,"Broker, Shipper, Produce,","Fruits, Onions, Peaches, Plums, Potatoes, Vegetables,",
Borzynski Brothers Distributing Inc,,PO BOX 133,FRANKSVILLE,WI,53126-0133,USA,(262) 886-1623,randyb@borzynskifarms.com,(262) 886-2111,,"Buying Broker, Broker, Fresh Cut Processor, Shipper, Produce,","Cabbage, Cilantro, Collards, Dill, Green Beans, Kale, Mixed Vegetables, Mustard Greens, Peppers, PMA Member, Sweet Corn, Turnips,",
Bosgraaf Sales Co,,5501 40TH AVE,HUDSONVILLE,MI,49426-9467,USA,(616) 669-1810,,(616) 669-3474,,"Exporter, Grower, Packer, Sales Agency, Shipper, Produce,","Blueberries, Cabbage, Carrots, Celery, Lettuce, Onions, Parsnips, Radishes, Squash, Turnips, Vegetables,",
Boskovich Farms Inc,,PO BOX 1352,OXNARD,CA,93032-1352,USA,(805) 487-7799,,,,"Shipper, Produce,","Beets, Cabbage, Carrots, Celery, Celery Hearts, Cilantro, Flowering Kale, Fresh Cut, Green Onions, Kale, Leeks, Parsley, Parsley (Italian), Radishes, Spinach, Strawberries, Sweet Corn,",Http://www.boskovichfarms.com
Boskovich Farms Inc,,PO BOX 1352,OXNARD,CA,93032-1352,USA,(805) 487-7799,,(805) 487-5189,,"Fresh Cut Processor, Grower, Packer, Shipper, Produce,","Beets, Brussels Sprouts, Cabbage, Carrots, Celery, Celery Hearts, Cilantro, Escarole, Flowering Kale, Fresh Cut, Green Onions, Green Peas, Greens, Herbs, Kale, Kohlrabi, Leeks, Lettuce, Parsley, Parsley (Italian), Radishes, Romaine, Saladmix, Spinach, Strawberries, Sweet Corn, Vegetables, Watercress,",Http://www.boskovichfarms.com
Boskovich Farms Inc,,PO BOX 1352,OXNARD,CA,93032-1352,USA,(805) 487-7799,,,,"Shipper, Produce,","Beets, Cabbage, Carrots, Celery, Celery Hearts, Cilantro, Flowering Kale, Fresh Cut, Green Onions, Kale, Leeks, Parsley, Parsley (Italian), Radishes, Romaine, Spinach, Strawberries,",Http://www.boskovichfarms.com
Bozzuto's Inc,,275 SCHOOLHOUSE RD,CHESHIRE,CT,06410-1257,USA,(203) 272-3511,gveneziano@bozzutos.com,(203) 250-5778,,"Distributor, Shipper, Wholesale Grocer, Wholesaler, Produce, Large Buying Organizations,","Apples, Asparagus, Avocados, Bananas, Blueberries, Boston/Butterhead, Broccoli, Cabbage, Cantaloupes, Carrots, Cauliflower, Celery, Citrus Fruits, Cucumbers, Eggplant, Endive, Grapefruit, Grapes, Green Beans, Green Onions, Honeydew Melons, Lemons, Lettuce, Limes, Mangoes, Melons, Mushrooms, Nectarines, Onions, Oranges, Peaches, Pears, Peppers, Pineapples, Plums, Potatoes, Raspberries, Romaine, Spinach, Squash, Strawberries, Sweet Corn, Sweet Potatoes, Tomatoes, Watermelons,",Http://www.bozzutos.com
"Branch Inc, Hugh H",,,BAINBRIDGE,GA,33476,USA,(229) 294-7922,,(229) 294-9747,,"Buying Broker, Sales Agency, Shipper, Produce,","Sweet Corn,",
"Brown Produce Inc, Jack",,8035 FRUIT RIDGE AVE NW,SPARTA,MI,49345-9758,USA,(616) 887-9568,info@jackbrownproduce.com,(616) 887-9765,,"Buying Broker, Packer, Sales Agency, Shipper, Produce,","Apples, Fruits, Peaches, Pears, Prunes, Vegetables,",Http://www.jackbrownproduce.com
Bud-Rich Potato Inc,,PO BOX 224,HERMISTON,OR,97838-0224,USA,(541) 567-6410,,(541) 567-1033,,"Grower, Shipper, Produce,","Onions, Potatoes,",
Burnand & Co Inc,,PO BOX 2180,NOGALES,AZ,85628-2180,USA,(520) 281-1124,,(520) 281-0083,,"Distributor, Shipper, Produce,","Cantaloupes, Cherry Tomatoes, Cucumbers, Fruits, Green Beans, Green Peas, Mixed Vegetables, Peppers, Squash, Tomatoes, Vegetables,",
"Burns & Sons Farms Inc, James",,PO BOX 100,ALMOND,WI,54909-0090,USA,(715) 366-4341,,(715) 366-2876,,"Grower, Shipper, Produce,","Potatoes,",
Bushman Potato Sales Inc,,1287 Franzen Dr,GALLOWAY,WI,54499,USA,(715) 454-6200,grandepatata@yahoo.com,(715) 454-6506,,"Broker, Shipper, Produce,","Potatoes,",
Bushmans' Incorporated,,PO BOX 8,ROSHOLT,WI,54473-0008,USA,(715) 677-4533,bushmans@wi-net.com,(715) 677-4076,,"Broker, Grower, Shipper, Produce,","Onions, Potatoes, Seed Potatoes, Tomatoes, Watermelons,",
Bushmans' Incorporated,,PO BOX 8,STEVENS POINT,WI,54481-0008,USA,(715) 341-5374,,,,"Broker, Grower, Shipper, Produce,","Onions, Potatoes, Seed Potatoes,",
Buurma Farms Inc,,3909 KOK RD,WILLARD,OH,44890-9700,USA,(419) 935-6411,info@buurmafarms.com,(419) 935-1918,,"Grower, Shipper, Produce,","Baby Carrots, Beets, Cabbage, Carrots, Celery, Celery Cabbage, Collards, Cucumbers, Endive, Escarole, Fresh Cut, Green Beans, Green Onions, Greens, Herbs, Kale, Leeks, Lettuce, Mixed Vegetables, Napa, Parsley, Peppers, PMA Member, Pumpkins, Radishes, Romaine, Spinach, Squash, Sweet Corn, Turnips, Zucchini,",Http://www.buurmafarms.com
Bybee Produce LLC,,49203 ANDERSON RD,PROSSER,WA,99350-9468,USA,(509) 788-8000,bybeefreshcutfoods@hotmail.com,(509) 788-8004,,"Exporter, Grower, Packer, Shipper, Produce,","Onions,",
C F Fresh,,PO BOX 665,SEDRO WOOLLEY,WA,98284-0665,USA,(360) 855-0566,cff@cffresh.com,(360) 855-2430,,"Exporter, Importer, Sales Agency, Shipper, Produce,","Apples, Apricots, Asian Pear, Cherries, Citrus Fruits, Cranberries, Garlic, Green Beans, Green Peas, Nectarines, Onions, Organic, Peaches, Pears, Plums, PMA Member, Potatoes, Tomatoes,",Http://www.cffresh.com
C F Fresh-California,,PO Box 274,CAMPTONVILLE,CA,95922,USA,(530) 288-3476,royr@cffresh.com,(530) 288-3472,,"Broker, Exporter, Importer, Sales Agency, Shipper, Produce,","Apples, Apricots, Asian Pear, Asparagus, Blackberries, Blueberries, Broccoli, Cherries, Garlic, Grapefruit, Kiwi, Limes, Nectarines, Onions, Organic, Peaches, Pears, Pineapples, Plums, Raspberries,",Http://www.cffresh.com
C.H.R. Foods Inc dba Impressive Foods Inc,,P O Box 608,WATSONVILLE,CA,95077,USA,(831) 763-4300,,,,"Broker, Distributor, Grower, Processor, Shipper, Produce,","Fruits, Snowpeas, Strawberries, Vegetables, Vegetables,",
Cabbage Inc,,2510 CANTERBURY RD,WESTLAKE,OH,44145-4658,USA,(440) 899-9171,dhille@cabbage-inc.com,(440) 899-3261,,"Broker, Grower, Shipper, Produce,","Broccoli, Cabbage, Celery, Cucumbers, Green Onions, Onions, Peppers, Squash, Sweet Corn,",Http://www.cabbage-inc.com
Cal-Ex Trading Co Inc,,290 Station Way Ste B,ARROYO GRANDE,CA,93420-3360,USA,(805) 481-5001,sales@calextrading.com,(805) 481-6001,,"Distributor, Exporter, Importer, Shipper, Produce,","Asparagus, Broccoli, Cauliflower, Fruits, Lettuce, Strawberries, Vegetables,",
Capital City Fruit Co Inc,,PO BOX 337,NORWALK,IA,50211-0337,USA,(515) 981-5111,info@capitalcityfruit.com,,,"Broker, Jobber, Repacker, Sales Agency, Shipper, Produce,","Apples, Avocados, Bananas, Cabbage, Cantaloupes, Carrots, Cherry Tomatoes, Citrus Fruits, Cucumbers, Fruits, Honeydew Melons, Hothouse Tomato, Limes, Melons, Mixed Vegetables, Onions, Peppers, PMA Member, Pumps, Radishes, Tomatoes, Vegetables, Watermelons,",
Capital City Fruit Co Inc,,PO BOX 337,NORWALK,IA,50211-0337,USA,(515) 981-5111,,(515) 981-4564,,"Broker, Jobber, Sales Agency, Shipper, Produce,","Apples, Cabbage, Cantaloupes, Citrus Fruits, Cucumbers, Fruits, Honeydew Melons, Melons, Mixed Vegetables, Onions, Peppers, Tomatoes, Vegetables, Watermelons,",
Capital Produce Distributors Inc,,PO Drawer 1697,IRMO,SC,29063-1697,USA,(803) 227-2990,sales@capitalproduce.com,(803) 227-2997,,"Buying Broker, Distributor, Grower, Shipper, Produce,","Apples, Citrus Fruits, Fruits, Lettuce, Melons, Onions, Potatoes, Vegetables,",Http://www.capitalproduce.com
